post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_manufacture,attribute_data:pa_manufacture,attribute_default:pa_manufacture
0VV8TK - Dell 160GB hard Drive for LaserJet C5765 PrinterHard Drive,0VV8TK - Dell 160GB hard Drive for LaserJet C5765 PrinterHard Drive,products list items product-items,1,,,,,,,,,,,,,,,$976.96,$ 1172.35,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/0vv8tk-dell-160gb-hard-drive-for-laserjet-c5765-printer.html,,https://harddiskdirect.com/media/catalog/product/cache/5367df8c884cca8afc5edb8f82409a1a/0/v/0vv8tk_wu72h8akrr9fvixd.jpg,,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: 0VV8TK,MFR: Dell,
Q6677-67015 - HP Hard Disk Drive for DesignJet Z2100 Printer,Q6677-67015 - HP Hard Disk Drive for DesignJet Z2100 Printer,products list items product-items,2,,,,,,,,,,,,,,,$372.41,$ 446.89,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/q6677-67015-hp-hard-disk-drive-for-designjet-z2100-printer.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: Q6677-67015,MFR: HP,
691917-011 - HP 320GB 5400RPM SATA 3Gb/s 2.5-inch Hard Drive for LaserJet M527,691917-011 - HP 320GB 5400RPM SATA 3Gb/s 2.5-inch Hard Drive for LaserJet M527,products list items product-items,3,,,,,,,,,,,,,,,$335.89,$ 403.07,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/691917-011-hp-320gb-5400rpm-sata-3gb-s-2.5-inch-hard-drive-for-laserjet-m527.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: 691917-011,MFR: HP,
11K3927 - IBM 10GB 4200RPM Hard Drive for Infoprint 1100 Series with Adapter,11K3927 - IBM 10GB 4200RPM Hard Drive for Infoprint 1100 Series with Adapter,products list items product-items,4,,,,,,,,,,,,,,,$101.85,$ 122.22,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/11k3927-ibm-10gb-4200rpm-hard-drive-for-infoprint-1100-series-with-adapter.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: 11K3927,MFR: IBM,
CR357-67047 - HP Hard Drive with firmware for DesignJet T920 / T1500 / T2500 Series Printer,CR357-67047 - HP Hard Drive with firmware for DesignJet T920 / T1500 / T2500 Series Printer,products list items product-items,5,,,,,,,,,,,,,,,$395.62,$ 474.74,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/cr357-67047-hp-hard-drive-with-firmware-for-designjet-t920-t1500-t2500-series-printer.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: CR357-67047,MFR: HP,
CB414-00029 - HP 40GB Hard Drive with Cage and Cable for LaserJet M3027x Series Printer,CB414-00029 - HP 40GB Hard Drive with Cage and Cable for LaserJet M3027x Series Printer,products list items product-items,6,,,,,,,,,,,,,,,$234.00,$ 280.80,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/cb414-00029-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: CB414-00029,MFR: HP,
VV8TK - Dell 160GB hard Drive for LaserJet C5765 PrinterHard Drive,VV8TK - Dell 160GB hard Drive for LaserJet C5765 PrinterHard Drive,products list items product-items,7,,,,,,,,,,,,,,,$976.96,$ 1172.35,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/vv8tk-dell-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: VV8TK,MFR: Dell,
324-5407 - Dell 160GB Hard Drive for 5460dn / 5465dnf Printer,324-5407 - Dell 160GB Hard Drive for 5460dn / 5465dnf Printer,products list items product-items,8,,,,,,,,,,,,,,,$297.13,$ 356.56,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/324-5407-dell-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: 324-5407,MFR: Dell,
341-9811 - Dell 80GB ATA/IDE Printer Hard Drive for 5130CDN,341-9811 - Dell 80GB ATA/IDE Printer Hard Drive for 5130CDN,products list items product-items,9,,,,,,,,,,,,,,,$280.48,$ 336.58,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/341-9811-dell-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: 341-9811,MFR: Dell,
L2717-60013 - HP 250GB SATA Hard Drive for ScanJet Enterprise 8500 fn1,L2717-60013 - HP 250GB SATA Hard Drive for ScanJet Enterprise 8500 fn1,products list items product-items,10,,,,,,,,,,,,,,,$216.00,$ 259.20,,,,,,,,,,,,,,,,,,,,https://harddiskdirect.com/l2717-60013-hp-printer-hard-drive.html,,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAQAAAC1HAwCAAAAC0lEQVR4nGP6zwAAAgcBApocMXEAAAAASUVORK5CYII=",,https://harddiskdirect.com/categories/storage-devices/storage/internal-hard-drives/printer-hard-drive.html?p=1,,,,,,,,,,,,,,,,,,Mfr Part#: L2717-60013,MFR: HP,
